Honorific,First name,Last name,Gender,Office type,Address - incomeplete,City,Province,Address -postcode,Office email,Email,Telephone,Fax,Toll-free,TTY,Riding name,Party,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,,distane to ON parl.
,Marit,Stiles,Female ,Constituency office,"1199 Bloor St. W
",Toronto,ON,M6H 1N4,MStiles-CO@ndp.on.ca,MStiles-QP@ndp.on.ca,416-535-3158,416-535-6587,,,Davenport,New Democratic Party of Ontario,116,"Toronto, ON M6H 1N4, Canada",,43.6587593,-79.4397096,"43.6587593,-79.4397096",ChIJA0BlcUU0K4gRGjK46pDIzxU,postal_code,M6H 1N4,M6H 1N4,1,OK,,4.81
Hon.,Kinga,Surma,Female ,Constituency office,"Lloydmanor Shopping Centre
Unit 102
201 Lloyd Manor Rd.
",Etobicoke,ON,M9B 6H6,,kinga.surma@pc.ola.org,416-234-2800,416-234-2276,,,Etobicoke Centre,Progressive Conservative Party of Ontario,117,"Etobicoke, ON M9B 6H6, Canada",,43.6751313,-79.5564805,"43.6751313,-79.55648049999999",ChIJDeghIl43K4gR0WoGlgkhU94,postal_code,M9B 6H6,M9B 6H6,1,OK,,25.506
,Peter,Tabuns,Male ,Constituency office,"923 Danforth Ave.
",Toronto,ON,M4J 1L8,tabunsp-co@ndp.on.ca,tabunsp-qp@ndp.on.ca,416-461-0223,416-461-9542,,,Toronto—Danforth,New Democratic Party of Ontario,118,"Toronto, ON M4J 1L8, Canada",,43.6798644,-79.3388986,"43.6798644,-79.3388986",ChIJFzoZ74bM1IkRdd8PPIfQ4a4,postal_code,M4J 1L8,M4J 1L8,1,OK,,5.188
,Nina,Tangri,Female ,Constituency office,"Unit 110
154 Queen St. S
",Mississauga,ON,L5M 2P4,,nina.tangri@pc.ola.org,905-569-1643,905-569-6416,,,Mississauga—Streetsville,Progressive Conservative Party of Ontario,119,"Mississauga, ON L5M 2P4, Canada",,43.582232,-79.7151851,"43.582232,-79.7151851",ChIJZwMM97hBK4gRr6vSNADrpJs,postal_code,L5M 2P4,L5M 2P4,1,OK,,43.702
,Monique,Taylor,Female ,Constituency office,"Unit 202
555 Concession St.
",Hamilton,ON,L8V 1A8,mtaylor-co@ndp.on.ca,mtaylor-qp@ndp.on.ca,905-388-9734,905-388-7862,,,Hamilton Mountain,New Democratic Party of Ontario,120,"Hamilton, ON L8V 1A8, Canada",,43.2410669,-79.8516442,"43.2410669,-79.8516442",ChIJ-yCUh8CbLIgR2fFI1MaA2EM,postal_code,L8V 1A8,L8V 1A8,1,OK,,72.944
,Vijay,Thanigasalam,Male ,Constituency office,"Unit 105
8130 Sheppard Ave. E
",Toronto,ON,M1B 3W3,,vijay.thanigasalam@pc.ola.org,416-283-8448,416-283-1597,,,Scarborough—Rouge Park,Progressive Conservative Party of Ontario,121,"Scarborough, ON M1B 3W3, Canada",,43.8027874,-79.1984082,"43.8027874,-79.1984082",ChIJpyS52wfa1IkRUplPQZLOrgQ,postal_code,M1B 3W3,M1B 3W3,1,OK,,29.196
Hon.,Lisa,Thompson,Female ,Constituency office,"408 Queen St.
P.O. Box 426
",Blyth,ON,N0M 1H0,lisa.thompsonco@pc.ola.org,lisa.thompson@pc.ola.org,519-523-4251,226-523-9296,,,Huron—Bruce,Progressive Conservative Party of Ontario,122,"Blyth, ON N0M 1H0, Canada",,43.7417616,-81.3729372,"43.7417616,-81.3729372",ChIJEX4exeAqL4gRUU25CiBpd-Y,postal_code,N0M 1H0,N0M 1H0,1,OK,,198.416
Hon.,Lisa,Thompson,Female ,Constituency office,"Unit 2
807 Queen St.
",Kincardine,ON,N2Z 2Y2,lisa.thompsonco@pc.ola.org,lisa.thompson@pc.ola.org,519-396-3007,519-396-3011,1-866-396-3007,,Huron—Bruce,Progressive Conservative Party of Ontario,123,"Kincardine, ON N2Z 2Y2, Canada",,44.1798483,-81.633305,"44.1798483,-81.633305",ChIJ7-ZiwTpRKIgROpOU0OJ5CEM,postal_code,N2Z 2Y2,N2Z 2Y2,1,OK,,222.122
Hon.,Michael A.,Tibollo,Male ,Constituency office,"Unit 3
5100 Rutherford Rd.
",Woodbridge,ON,L4H 2J2,michael.tibolloCO@pc.ola.org,,905-893-4428,905-893-4537,,,Vaughan—Woodbridge,Progressive Conservative Party of Ontario,124,"Woodbridge, ON L4H 2J2, Canada",,43.8173234,-79.602129,"43.8173234,-79.60212899999999",ChIJX9y7YqwlK4gRQHvsseze4CU,postal_code,L4H 2J2,L4H 2J2,1,OK,,34.778
,Effie J.,Triantafilopoulos,Female ,Constituency office,"Unit 570
2525 Old Bronte Rd.
",Oakville,ON,L6M 4J2,,effie.triantafilopoulos@pc.ola.org,905-825-2455,905-825-0663,,,Oakville North—Burlington,Progressive Conservative Party of Ontario,125,"Oakville, ON L6M 4J2, Canada",,43.4347997,-79.7743314,"43.4347997,-79.7743314",ChIJTcIhZBtnK4gRfYF8JSHJRHo,postal_code,L6M 4J2,L6M 4J2,1,OK,,49.239
,John,Vanthof,Male ,Constituency office,"2nd Floor
193 King St.
",Sturgeon Falls,ON,P2B 1R8,jvanthof-co@ndp.on.ca,jvanthof-qp@ndp.on.ca,705-753-0200,705-753-0800,,,Timiskaming—Cochrane,New Democratic Party of Ontario,126,"Sturgeon Falls, ON P2B 1R8, Canada",,46.3676478,-79.9297596,"46.3676478,-79.9297596",ChIJE76GI7EgKU0R6rghKUgc0YQ,postal_code,P2B 1R8,P2B 1R8,1,OK,,381.029
,John,Vanthof,Male ,Constituency office,"63B Government Rd. W
",Kirkland Lake,ON,P2N 2E6,jvanthof-co@ndp.on.ca,jvanthof-qp@ndp.on.ca,705-567-4650,705-567-4208,,,Timiskaming—Cochrane,New Democratic Party of Ontario,127,"Kirkland Lake, ON P2N 2E6, Canada",,48.1482846,-80.0381215,"48.1482846,-80.0381215",ChIJt-GYmuxyJE0Rznerp98qV6k,postal_code,P2N 2E6,P2N 2E6,1,OK,,583.828
,John,Vanthof,Male ,Constituency office,"Pinewoods Centre
Unit 5
247 Whitewood Ave.
P.O. Box 398
",New Liskeard,ON,P0J 1P0,jvanthof-co@ndp.on.ca,jvanthof-qp@ndp.on.ca,705-647-5995,705-647-1976,,,Timiskaming—Cochrane,New Democratic Party of Ontario,128,"New Liskeard, ON P0J 1P0, Canada",,47.5139132,-79.8761681,"47.5139132,-79.8761681",ChIJ8WDSWPB7Jk0RQcn-iCc1PFY,postal_code,P0J 1P0,P0J 1P0,1,OK,,517.346
,Daisy,Wai,Female ,Constituency office,"Suite 409
9555 Yonge St.
",Richmond Hill,ON,L4C 9M5,daisy.waico@pc.ola.org,daisy.wai@pc.ola.org,905-884-8080,905-884-1040,,,Richmond Hill,Progressive Conservative Party of Ontario,129,"Richmond Hill, ON L4C 9M5, Canada",,43.8597247,-79.4341705,"43.8597247,-79.4341705",ChIJMUHb-aQrK4gR9e9SqrB-DDU,postal_code,L4C 9M5,L4C 9M5,1,OK,,32.49
Hon.,Bill,Walker,Male ,Constituency office,"Suite 100
920 1st Ave. W
",Owen Sound,ON,N4K 4K5,bill.walkerco@pc.ola.org,bill.walker@pc.ola.org,519-371-2421,519-371-0953,1-800-461-2664,,Bruce—Grey—Owen Sound,Progressive Conservative Party of Ontario,130,"Owen Sound, ON N4K 4K5, Canada",,44.5665916,-80.9448779,"44.5665916,-80.9448779",ChIJZ59ZJYD8KYgRDRt861dmef4,postal_code,N4K 4K5,N4K 4K5,1,OK,,190.869
,Jamie,West,Male ,Constituency office,"Unit 4B
555 Barrydowne Rd.
",Sudbury,ON,P3A 3T4,JWest-CO@ndp.on.ca,JWest-QP@ndp.on.ca,705-675-1914,705-675-1456,,,Sudbury,New Democratic Party of Ontario,131,"Sudbury, ON P3A 3T4, Canada",,46.5085815,-80.9448783,"46.5085815,-80.9448783",ChIJ222WooYAL00R8NosFZTtfYo,postal_code,P3A 3T4,P3A 3T4,1,OK,,394.489
,Jim,Wilson,Male ,Constituency office,"50 Hume St.
",Collingwood,ON,L9Y 1V2,,,705-446-1090,705-446-3397,,,Simcoe—Grey,Independent,132,"Collingwood, ON L9Y 1V2, Canada",,44.4954254,-80.2153126,"44.49542539999999,-80.21531259999999",ChIJj8hXX8N7KogRZx7FFgpxGzU,postal_code,L9Y 1V2,L9Y 1V2,1,OK,,147.117
,Jim,Wilson,Male ,Constituency office,"Suite 28
180 Parsons Rd.
",Alliston,ON,L9R 1E8,,,705-435-4087,705-435-1051,,,Simcoe—Grey,Independent,133,"Alliston, ON L9R 1E8, Canada",,44.1469608,-79.8534821,"44.1469608,-79.8534821",ChIJ7WbYVujuKogRVhkTAh6tq9k,postal_code,L9R 1E8,L9R 1E8,1,OK,,88.783
,Kathleen O.,Wynne,Female ,Constituency office,"Suite 101
795 Eglinton Ave. E.
",Toronto,ON,M4G 4E4,kwynne.mpp.co@liberal.ola.org,,416-425-6777,416-425-0350,,,Don Valley West,Ontario Liberal Party,134,"East York, ON M4G 4E4, Canada",,43.7130931,-79.3661795,"43.71309309999999,-79.3661795",ChIJ11xRitjM1IkRecYgpL7Q10E,postal_code,M4G 4E4,M4G 4E4,1,OK,,7.813
Hon.,John,Yakabuski,Male ,Constituency office,"The Victoria Center
Unit 6
84 Isabella St.
",Pembroke,ON,K8A 5S5,john.yakabuskico@pc.ola.org,john.yakabuski@pc.ola.org,613-735-6627,613-735-6692,,,Renfrew—Nipissing—Pembroke,Progressive Conservative Party of Ontario,135,"Pembroke, ON K8A 5S5, Canada",,45.8241578,-77.113054,"45.82415779999999,-77.11305399999999",ChIJGegjU6c30UwRlneku0XduxE,postal_code,K8A 5S5,K8A 5S5,1,OK,,386.513
,Kevin,Yarde,Male ,Constituency office,"Unit 7
10215 Kennedy Rd. N.
",Brampton,ON,L6Z 0C5,KYarde-CO@ndp.on.ca,KYarde-QP@ndp.on.ca,905-495-8030,905-495-1041,,,Brampton North,New Democratic Party of Ontario,136,"Brampton, ON L6Z 0C5, Canada",,43.720112,-79.7818643,"43.720112,-79.7818643",ChIJp7MAyn0WK4gRih_Qw3t628g,postal_code,L6Z 0C5,L6Z 0C5,1,OK,,46.764
Hon.,Jeff,Yurek,Male ,Constituency office,"Suite 201
750 Talbot St.
",St. Thomas,ON,N5P 1E2,jeff.yurekco@pc.ola.org,jeff.yurek@pc.ola.org,519-631-0666,519-631-9478,1-800-265-7638,,Elgin—Middlesex—London,Progressive Conservative Party of Ontario,137,"St Thomas, ON N5P 1E2, Canada",,42.7785372,-81.1847402,"42.7785372,-81.1847402",ChIJM6qVvT9eLogRMRip2xeXCwY,postal_code,N5P 1E2,N5P 1E2,1,OK,,203.057
