District name,Primary role,Name,First name,Last name,Gender,Party name,Email,Office type,Phone,Fax,Office type,Address,Phone,,formatted_address,,latitude,longitude,coordinates,google_place_id,type,postcode,input_string,number_of_results,status,distance from Quebec Prov Parli.
Montarville,MNA,Nathalie Roy,Nathalie,Roy,,Coalition avenir Québec,Nathalie.Roy.MOTA@assnat.qc.ca,legislature,1 418 380-2310,,constituency,"1570, rue Ampère Bureau 500 Boucherville (Quebec) J4B 7L4",1 450 641-2748,77,"1570 Rue Ampère Bureau 500, Boucherville, QC J4B 5Z5, Canada",,45.5721031,-73.414171,"45.5721031,-73.414171",Ej0xNTcwIFJ1ZSBBbXDDqHJlIEJ1cmVhdSA1MDAsIEJvdWNoZXJ2aWxsZSwgUUMgSjRCIDVaNSwgQ2FuYWRhIiYaJAoWChQKEgkrVY0F_QLJTBHrBGQYfDiyKhIKQnVyZWF1IDUwMA,subpremise,J4B 5Z5,"1570, rue Ampère Bureau 500 Boucherville (Quebec) J4B 7L4",1,OK,592.321
Montmorency,MNA,Jean-François Simard,Jean-François,Simard,,Coalition avenir Québec,Jean-Francois.Simard.MONT@assnat.qc.ca,legislature,1 418 644-9600,,constituency,"2400, boulevard Louis-XIV Bureau 203 Québec (Quebec) G1C 5Y8",1 418 660-6870,78,"2400 Boulevard Louis-XIV Bureau 203, Québec, QC G1C 5Y8, Canada",,46.8939763,-71.2089709,"46.8939763,-71.2089709",EkAyNDAwIEJvdWxldmFyZCBMb3Vpcy1YSVYgQnVyZWF1IDIwMywgUXXDqWJlYywgUUMgRzFDIDVZOCwgQ2FuYWRhIiYaJAoWChQKEglP_jE1XLy4TBEWUJYqmVi6UhIKQnVyZWF1IDIwMw,subpremise,G1C 5Y8,"2400, boulevard Louis-XIV Bureau 203 Québec (Quebec) G1C 5Y8",1,OK,740.001
Mégantic,MNA,François Jacques,François,Jacques,,Coalition avenir Québec,Francois.Jacques.MEGA@assnat.qc.ca,legislature,1 418 644-0711,,constituency,"5600, rue Frontenac Bureau 201 Lac-Mégantic (Quebec) G6B 1H5",1 819 583-4500,79,"5600 Rue Frontenac Bureau 201, Lac-Mégantic, QC G6B 1H5, Canada",,45.5737983,-70.8810078,"45.5737983,-70.88100779999999",EkA1NjAwIFJ1ZSBGcm9udGVuYWMgQnVyZWF1IDIwMSwgTGFjLU3DqWdhbnRpYywgUUMgRzZCIDFINSwgQ2FuYWRhIiYaJAoWChQKEgklLPxmjUa3TBGyXDmUY2syqBIKQnVyZWF1IDIwMQ,subpremise,G6B 1H5,"5600, rue Frontenac Bureau 201 Lac-Mégantic (Quebec) G6B 1H5",1,OK,544.774
Nelligan,MNA,Monsef Derraji,Monsef,Derraji,,Parti libéral du Québec,Monsef.Derraji.NELL@assnat.qc.ca,legislature,1 581 628-1834,,constituency,"3535, boulevard Saint-Charles Bureau 400 Kirkland (Quebec) H9H 5B9",1 514 695-2440,80,"3535 Boulevard Saint-Charles Bureau 400, Kirkland, QC H9H 5B9, Canada",,45.4567986,-73.8617133,"45.4567986,-73.86171329999999",EkUzNTM1IEJvdWxldmFyZCBTYWludC1DaGFybGVzIEJ1cmVhdSA0MDAsIEtpcmtsYW5kLCBRQyBIOUggNUI5LCBDYW5hZGEiJhokChYKFAoSCR3TnNjtO8lMEeXkwgKRsutyEgpCdXJlYXUgNDAw,subpremise,H9H 5B9,"3535, boulevard Saint-Charles Bureau 400 Kirkland (Quebec) H9H 5B9",1,OK,611.107
Nicolet-Bécancour,MNA,Donald Martel,Donald,Martel,,Coalition avenir Québec,Donald.Martel.NICO@assnat.qc.ca,legislature,1 581 628-1849,,constituency,"625, avenue Godefroy Bureau 202 Bécancour (Quebec) G9H 1S3",1 819 233-3521,81,"625 Avenue Godefroy Bureau 202, Bécancour, QC G9H 1S4, Canada",,46.2973355,-72.5387638,"46.2973355,-72.5387638",Ej42MjUgQXZlbnVlIEdvZGVmcm95IEJ1cmVhdSAyMDIsIELDqWNhbmNvdXIsIFFDIEc5SCAxUzQsIENhbmFkYSImGiQKFgoUChIJL1XE2AnFx0wRZNCovSMTt3ISCkJ1cmVhdSAyMDI,subpremise,G9H 1S4,"625, avenue Godefroy Bureau 202 Bécancour (Quebec) G9H 1S3",1,OK,635.116
Notre-Dame-de-Grâce,MNA,Kathleen Weil,Kathleen,Weil,,Parti libéral du Québec,Kathleen.Weil.NDDG@assnat.qc.ca,legislature,1 581 628-1836,,constituency,"5252, boulevard De Maisonneuve Ouest Bureau 210 Montréal (Quebec) H4A 3S5",1 514 489-7581,82,"5252 Boulevard de Maisonneuve O Bureau 210, Montréal, QC H4A 3S5, Canada",,45.473354,-73.604638,"45.473354,-73.604638",Ekk1MjUyIEJvdWxldmFyZCBkZSBNYWlzb25uZXV2ZSBPIEJ1cmVhdSAyMTAsIE1vbnRyw6lhbCwgUUMgSDRBIDNTNSwgQ2FuYWRhIiYaJAoWChQKEgm_w2_ApBDJTBGSmIdqItpl7xIKQnVyZWF1IDIxMA,subpremise,H4A 3S5,"5252, boulevard De Maisonneuve Ouest Bureau 210 Montréal (Quebec) H4A 3S5",1,OK,588.724
Orford,MNA,Gilles Bélanger,Gilles,Bélanger,,Coalition avenir Québec,Gilles.Belanger.ORFO@assnat.qc.ca,legislature,1 418 644-3944,,constituency,"343, rue Principale Ouest Magog (Quebec) J1X 2B1",1 819 847-3911,83,"343 Rue Principale O, Magog, QC J1X 2B1, Canada",,45.266097,-72.152119,"45.26609699999999,-72.152119",ChIJB79D-fI3tkwRKwae1OKkL4M,street_address,J1X 2B1,"343, rue Principale Ouest Magog (Quebec) J1X 2B1",1,OK,482.09
Papineau,MNA,Mathieu Lacombe,Mathieu,Lacombe,,Coalition avenir Québec,Mathieu.Lacombe.PAPI@assnat.qc.ca,legislature,1 418 643-2181,,constituency,"564, avenue de Buckingham Gatineau (Quebec) J8L 2H1",1 819 986-9300,84,"564 Ave. de Buckingham, Gatineau, QC J8L 2H1, Canada",,45.5853575,-75.4157408,"45.5853575,-75.4157408",ChIJx8oXBS8-zkwRJeOJA1ZKkKU,street_address,J8L 2H1,"564, avenue de Buckingham Gatineau (Quebec) J8L 2H1",1,OK,752.143
Pointe-aux-Trembles,MNA,Chantal Rouleau,Chantal,Rouleau,,Coalition avenir Québec,Chantal.Rouleau.PAT@assnat.qc.ca,legislature,1 418 643-6980,,constituency,"500, boulevard Saint-Jean-Baptiste Bureau 100 Montréal (Quebec) H1B 3Z7",1 514 640-9085,85,"500 Boulevard Saint-Jean-Baptiste bureau 100, Pointe-aux-Trembles, QC H1B 3Z7, Canada",,45.6398698,-73.490791,"45.6398698,-73.490791",ChIJ__-zAELiyEwRaViizhFJJsI,subpremise,H1B 3Z7,"500, boulevard Saint-Jean-Baptiste Bureau 100 Montréal (Quebec) H1B 3Z7",1,OK,603.961
Pontiac,MNA,André Fortin,André,Fortin,,Parti libéral du Québec,Andre.Fortin.PONT@assnat.qc.ca,legislature,1 418 643-1275,,constituency,"Les Galeries Aylmer 181, rue Principale Bureau A1 Gatineau (Quebec) J9H 6A6",1 819 648-7070,86,"181 Rue Principale, Gatineau, QC J9H 6A6, Canada",,45.3966667,-75.8363889,"45.3966667,-75.8363889",ChIJ22Fo7YwBzkwRJFUt8Had2FY,"establishment,point_of_interest,shopping_mall",J9H 6A6,"Les Galeries Aylmer 181, rue Principale Bureau A1 Gatineau (Quebec) J9H 6A6",1,OK,704.87
Portneuf,MNA,Vincent Caron,Vincent,Caron,,Coalition avenir Québec,Vincent.Caron.PORT@assnat.qc.ca,legislature,1 418 644-1473,,constituency,"118, rue Saint-Pierre Saint-Raymond (Quebec) G3L 1P6",1 418 337-4378,87,"118 Rue Saint Pierre, Saint-Raymond, QC G3L 1P5, Canada",,46.8884273,-71.8358168,"46.8884273,-71.8358168",ChIJS5wGfW5px0wR-kTP_KEeY2Y,premise,G3L 1P5,"118, rue Saint-Pierre Saint-Raymond (Quebec) G3L 1P6",1,OK,737.728
Prévost,MNA,Marguerite Blais,Marguerite,Blais,,Coalition avenir Québec,marguerite.blais.prev@assnat.qc.ca,legislature,1 418 266-7191,,constituency,"2894, boulevard du Curé-Labelle Bureau 101 Prévost (Quebec) J0R 1T0",1 450 224-4359,88,"2894 Boulevard du Curé-Labelle Bureau 101, Prévost, QC J0R 1T0, Canada",,45.8595542,-74.0704553,"45.8595542,-74.07045529999999",EkgyODk0IEJvdWxldmFyZCBkdSBDdXLDqS1MYWJlbGxlIEJ1cmVhdSAxMDEsIFByw6l2b3N0LCBRQyBKMFIgMVQwLCBDYW5hZGEiJhokChYKFAoSCTV8XW0gLs9MEXMSlOiCczeOEgpCdXJlYXUgMTAx,subpremise,J0R 1T0,"2894, boulevard du Curé-Labelle Bureau 101 Prévost (Quebec) J0R 1T0",1,OK,650.047
René-Lévesque,MNA,Martin Ouellet,Martin,Ouellet,,Parti québécois,Martin.Ouellet.RELE@assnat.qc.ca,legislature,1 581 628-1002,,constituency,"852, rue Bossé Baie-Comeau (Quebec) G5C 1L6",1 418 295-4001,89,"852 Rue Bossé, Baie-Comeau, QC G5C 1L6, Canada",,49.1930897,-68.2583568,"49.1930897,-68.2583568",ChIJbfc6yY0LlEwRBPEI7KwmXy8,subpremise,G5C 1L6,"852, rue Bossé Baie-Comeau (Quebec) G5C 1L6",1,OK,1136.133
Repentigny,MNA,Lise Lavallée,Lise,Lavallée,,Coalition avenir Québec,Lise.Lavallee.REPE@assnat.qc.ca,legislature,1 418 263-0612,,constituency,"522, rue Notre-Dame Bureau 102 Repentigny (Quebec) J6A 2T8",1 450 581-6102,90,"522 Rue Notre-Dame Bureau 102, Repentigny, QC J6A 2T8, Canada",,45.7420355,-73.4411315,"45.7420355,-73.4411315",Ej01MjIgUnVlIE5vdHJlLURhbWUgQnVyZWF1IDEwMiwgUmVwZW50aWdueSwgUUMgSjZBIDJUOCwgQ2FuYWRhIiYaJAoWChQKEgnpn0L5xuXITBFt-ylg31bYZBIKQnVyZWF1IDEwMg,subpremise,J6A 2T8,"522, rue Notre-Dame Bureau 102 Repentigny (Quebec) J6A 2T8",1,OK,621.006
Richelieu,MNA,Jean-Bernard Émond,Jean-Bernard,Émond,,Coalition avenir Québec,Jean-Bernard.Emond.RICL@assnat.qc.ca,legislature,1 418 263-0660,,constituency,"50, rue du Roi Bureau 100 Sorel-Tracy (Quebec) J3P 4M7",1 450 742-3781,91,"50 Rue du Roi Bureau 100, Sorel-Tracy, QC J3P 4M7, Canada",,46.0445814,-73.1164975,"46.0445814,-73.1164975",Ejk1MCBSdWUgZHUgUm9pIEJ1cmVhdSAxMDAsIFNvcmVsLVRyYWN5LCBRQyBKM1AgNE03LCBDYW5hZGEiJhokChYKFAoSCSnqogedhchMEfuRe1hFg_ApEgpCdXJlYXUgMTAw,subpremise,J3P 4M7,"50, rue du Roi Bureau 100 Sorel-Tracy (Quebec) J3P 4M7",1,OK,630.631
Richmond,MNA,André Bachand,André,Bachand,,Coalition avenir Québec,Andre.Bachand.RICM@assnat.qc.ca,constituency,1 819 879-1104,,," 192, rue du Roi Asbestos (Quebec) J1T 1S3",,92,"192 Rue du Roi, Asbestos, QC J1T 1S3, Canada",,45.7756312,-71.9364425,"45.7756312,-71.9364425",ChIJUwuOzMnut0wRg74oaPvmZZE,street_address,J1T 1S3," 192, rue du Roi Asbestos (Quebec) J1T 1S3",1,OK,549.732
Rimouski,MNA,Harold LeBel,Harold,LeBel,,Parti québécois,Harold.Lebel.RIMO@assnat.qc.ca,legislature,1 581 628-1017,,constituency,"320, rue Saint-Germain Est Bureau 400 Rimouski (Quebec) G5L 1C2",1 418 722-9787,93,"320 Rue Saint Germain E Bureau 400, Rimouski, QC G5L 1C2, Canada",,48.4598051,-68.5180768,"48.4598051,-68.5180768",ChIJ-f-vFOrZlUwRH6FqRkBKJj4,subpremise,G5L 1C2,"320, rue Saint-Germain Est Bureau 400 Rimouski (Quebec) G5L 1C2",1,OK,1014.33
Rivière-du-Loup-Témiscouata,MNA,Denis Tardif,Denis,Tardif,,Coalition avenir Québec,Denis.Tardif.RDLT@assnat.qc.ca,legislature,1 581 628-1846,,constituency,"320, boulevard de l’Hôtel-de-Ville Bureau 105 Rivière-du-Loup (Quebec) G5R 5C6",1 418 868-0822,94,"320, boul. de l'Hôtel de Ville #200, Rivière-du-Loup, QC G5R 5C6, Canada",,47.8215211,-69.5580841,"47.8215211,-69.5580841",ChIJYzx6ZThHvkwRWO2ah4LUyu4,"establishment,finance,health,insurance_agency,point_of_interest",G5R 5C6,"320, boulevard de l’Hôtel-de-Ville Bureau 105 Rivière-du-Loup (Quebec) G5R 5C6",1,OK,903.501
Robert-Baldwin,MNA,Carlos J. Leitão,Carlos J.,Leitão,,Parti libéral du Québec,CarlosJ.Leitao.ROBA@assnat.qc.ca,legislature,1 581 628-1848,,constituency,"3869, boulevard des Sources Bureau 203 Dollard-des-Ormeaux (Quebec) H9B 2A2",1 514 684-9000,95,"3869 Boulevard des Sources Bureau 203, Dollard-des-Ormeaux, QC H9B 2A2, Canada",,45.4911079,-73.8033567,"45.4911079,-73.8033567",Ek4zODY5IEJvdWxldmFyZCBkZXMgU291cmNlcyBCdXJlYXUgMjAzLCBEb2xsYXJkLWRlcy1Pcm1lYXV4LCBRQyBIOUIgMkEyLCBDYW5hZGEiJhokChYKFAoSCT-PbJyVPMlMEV51okbCwA45EgpCdXJlYXUgMjAz,subpremise,H9B 2A2,"3869, boulevard des Sources Bureau 203 Dollard-des-Ormeaux (Quebec) H9B 2A2",1,OK,605.851
Roberval,MNA,Nancy Guillemette,Nancy,Guillemette,,Coalition avenir Québec,Nancy.Guillemette.ROBE@assnat.qc.ca,legislature,1 418 266-1101 x72107,,constituency,"729, boulevard St-Joseph Bureau 203 Roberval (Quebec) G8H 2L4",1 418 275-5050,96,"729 Boulevard Saint-Joseph Bureau 203, Roberval, QC G8H 2L4, Canada",,48.5157877,-72.2212342,"48.5157877,-72.2212342",EkM3MjkgQm91bGV2YXJkIFNhaW50LUpvc2VwaCBCdXJlYXUgMjAzLCBSb2JlcnZhbCwgUUMgRzhIIDJMNCwgQ2FuYWRhIiYaJAoWChQKEgkx-ClvcfnBTBHRPLsev37alBIKQnVyZWF1IDIwMw,subpremise,G8H 2L4,"729, boulevard St-Joseph Bureau 203 Roberval (Quebec) G8H 2L4",1,OK,950.557
Rosemont,MNA,Vincent Marissal,Vincent,Marissal,,Québec solidaire,Vincent.Marissal.ROSE@assnat.qc.ca,legislature,1 581 628-1845,,constituency,"3308, boulevard Rosemont Montréal (Quebec) H1X 1K2",1 514 593-7495,97,"3308 Boulevard Rosemont, Montréal, QC H1X 1K2, Canada",,45.5535457,-73.5798834,"45.5535457,-73.5798834",ChIJTa7bV1QZyUwRbQhIrsjHjgw,street_address,H1X 1K2,"3308, boulevard Rosemont Montréal (Quebec) H1X 1K2",1,OK,594.355
Rousseau,MNA,Louis-Charles Thouin,Louis-Charles,Thouin,,Coalition avenir Québec,Louis-Charles.Thouin.ROUS@assnat.qc.ca,legislature,1 418 263-0688,,constituency,"461, rue du Parc Saint-Lin-Laurentides (Quebec) J5M 3A2",1 450 302-4610,98,"461 Rue du Parc, Saint-Lin - Laurentides, QC J5M 3A2, Canada",,45.8517204,-73.753438,"45.8517204,-73.753438",Ejw0NjEgUnVlIGR1IFBhcmMsIFNhaW50LUxpbiAtIExhdXJlbnRpZGVzLCBRQyBKNU0gM0EyLCBDYW5hZGEiGxIZChQKEgmLAaRnoM_ITBFZkA2Nh7xdwxDNAw,street_address,J5M 3A2,"461, rue du Parc Saint-Lin-Laurentides (Quebec) J5M 3A2",1,OK,646.876
Rouyn-Noranda-Témiscamingue,MNA,Émilise Lessard-Therrien,Émilise,Lessard-Therrien,,Québec solidaire,Emilise.Lessard-Therrien.RNT@assnat.qc.ca,legislature,1 581 628-1851,,constituency,"Suite 103 170, avenue Principale Rouyn-Noranda (Quebec) J9X 4P7",1 819 763-3047,99,"103-170 Avenue Principale, Rouyn-Noranda, QC J9X 4P7, Canada",,48.238523,-79.0203864,"48.238523,-79.02038639999999",EjwxMDMtMTcwIEF2ZW51ZSBQcmluY2lwYWxlLCBSb3V5bi1Ob3JhbmRhLCBRQyBKOVggNFA3LCBDYW5hZGEiHxodChYKFAoSCcHVoq-eMyFNEcFDZDIzUBksEgMxMDM,subpremise,J9X 4P7,"Suite 103 170, avenue Principale Rouyn-Noranda (Quebec) J9X 4P7",1,OK,1215.028
Saint-François,MNA,Geneviève Hébert,Geneviève,Hébert,,Coalition avenir Québec,Genevieve.Hebert.SAFR@assnat.qc.ca,legislature,1 418 263-0703,,constituency,"373, rue King Est 2e étage, suite 203-B Sherbrooke (Quebec) J1G 1B4",1 819 565-3667,100,"373 Rue King E Suite 203-A, Sherbrooke, QC J1G 1A8, Canada",,45.4080437,-71.8808348,"45.4080437,-71.8808348",ChIJswPPfgezt0wRvvwKJofjYsg,subpremise,J1G 1A8,"373, rue King Est 2e étage, suite 203-B Sherbrooke (Quebec) J1G 1B4",1,OK,512.317
Saint-Henri-Sainte-Anne,MNA,Dominique Anglade,Dominique,Anglade,,Parti libéral du Québec,Dominique.Anglade.SHSA@assnat.qc.ca,legislature,1 418 643-2743,,constituency,"3269, rue Saint-Jacques Montréal (Quebec) H4C 1G8",1 514 933-8796,101,"3269 Rue Saint-Jacques, Montréal, QC H4C 1G8, Canada",,45.483014,-73.581135,"45.483014,-73.581135",ChIJf9mP0HYayUwRKejNrkpEnS4,street_address,H4C 1G8,"3269, rue Saint-Jacques Montréal (Quebec) H4C 1G8",1,OK,586.013
Saint-Hyacinthe,MNA,Chantal Soucy,Chantal,Soucy,,Coalition avenir Québec,Chantal.Soucy.SAHY@assnat.qc.ca,legislature,1 418 643-2810,,constituency,"2685, boulevard Casavant Ouest Bureau 215 Saint-Hyacinthe (Quebec) J2S 2B8",1 450 773-0550,102,"2685 Boulevard Casavant O Bureau 215, Saint-Hyacinthe, QC J2S 8B8, Canada",,45.6316924,-72.9696991,"45.6316924,-72.9696991",EkkyNjg1IEJvdWxldmFyZCBDYXNhdmFudCBPIEJ1cmVhdSAyMTUsIFNhaW50LUh5YWNpbnRoZSwgUUMgSjJTIDhCOCwgQ2FuYWRhIiYaJAoWChQKEgmpLdSfEU7ITBHEc4dsVGJMuhIKQnVyZWF1IDIxNQ,subpremise,J2S 8B8,"2685, boulevard Casavant Ouest Bureau 215 Saint-Hyacinthe (Quebec) J2S 2B8",1,OK,583.58
Saint-Jean,MNA,Louis Lemieux,Louis,Lemieux,,Coalition avenir Québec,Louis.Lemieux.SAJE@assnat.qc.ca,legislature,1 418 644-1463,,constituency,"188, rue Longueuil Saint-Jean-sur-Richelieu (Quebec) J3B 6P1",1 450 346-3040,103,"188 Rue Longueuil, Saint-Jean-sur-Richelieu, QC J3B 6P1, Canada",,45.3057058,-73.2549531,"45.3057058,-73.2549531",ChIJqbxw6E-iyUwRBE9FDtMahQo,street_address,J3B 6P1,"188, rue Longueuil Saint-Jean-sur-Richelieu (Quebec) J3B 6P1",1,OK,547.612
Saint-Jérôme,MNA,Youri Chassin,Youri,Chassin,,Coalition avenir Québec,Youri.Chassin.STJE@assnat.qc.ca,legislature,1 581 628-1174,,constituency,"227, rue Saint-Georges Bureau 205 Saint-Jérôme (Quebec) J7Z 5A1",1 450 569-7436,104,"227 Rue Saint Georges Bureau 205, Saint-Jérôme, QC J7Z 5A1, Canada",,45.7744566,-74.0025385,"45.7744566,-74.0025385",EkQyMjcgUnVlIFNhaW50IEdlb3JnZXMgQnVyZWF1IDIwNSwgU2FpbnQtSsOpcsO0bWUsIFFDIEo3WiA1QTEsIENhbmFkYSImGiQKFgoUChIJ0YuaOqcsz0wR2HaA4M8CQxUSCkJ1cmVhdSAyMDU,subpremise,J7Z 5A1,"227, rue Saint-Georges Bureau 205 Saint-Jérôme (Quebec) J7Z 5A1",1,OK,639.65
Saint-Laurent,MNA,Marwah Rizqy,Marwah,Rizqy,,Parti libéral du Québec,Marwah.Rizqy.STLO@assnat.qc.ca,legislature,1 581 628-1844,,constituency,"3e étage 5255, boulevard Henri-Bourassa Ouest Bureau 312 Saint-Laurent (Quebec) H4R 2M6",1 514 747-4050,105,"5255 Boul Henri-Bourassa O #208, Saint-Laurent, QC H4R 2M6, Canada",,45.5211313,-73.7106105,"45.5211313,-73.7106105",ChIJA5DVyAEYyUwRKUJkPKVaEHs,"establishment,point_of_interest",H4R 2M6,"3e étage 5255, boulevard Henri-Bourassa Ouest Bureau 312 Saint-Laurent (Quebec) H4R 2M6",1,OK,598.064
Sainte-Marie-Saint-Jacques,MNA,Manon Massé,Manon,Massé,,Québec solidaire,Manon.Masse.SMSJ@assnat.qc.ca,legislature,1 418 644-1632,,constituency,"533, rue Ontario Est Bureau 330 Montréal (Quebec) H2L 1N8",1 514 525-2501,106,"533 Rue Ontario E Bureau 330, Montréal, QC H2L 1N8, Canada",,45.517564,-73.5645847,"45.517564,-73.5645847",ChIJx6FVYrQbyUwReSOAeyt5UfA,subpremise,H2L 1N8,"533, rue Ontario Est Bureau 330 Montréal (Quebec) H2L 1N8",1,OK,589.145
Sainte-Rose,MNA,Christopher Skeete,Christopher,Skeete,,Coalition avenir Québec,Christopher.Skeete.SARO@assnat.qc.ca,legislature,1 418 263-0619,,constituency,"132, boulevard Sainte-Rose Laval (Quebec) H7L 1K4",1 450 963-8272,107,"132 Boulevard Sainte-Rose, Laval, QC H7L 2N4, Canada",,45.6170476,-73.7820474,"45.6170476,-73.7820474",ChIJAUuEp-cmyUwRsB4W1sYOO88,premise,H7L 2N4,"132, boulevard Sainte-Rose Laval (Quebec) H7L 1K4",1,OK,613.779
Sanguinet,MNA,Danielle McCann,Danielle,McCann,,Coalition avenir Québec,,legislature,1 418 781-6500,,,"223, rue Sainte-Catherine Bureau 100-200 Saint-Constant (Quebec) J5A 2H3",,108,"223 Rue Sainte-Catherine Bureau 100-200, Saint-Constant, QC J5A 1R5, Canada",,45.3847088,-73.5864276,"45.3847088,-73.5864276",EksyMjMgUnVlIFNhaW50ZS1DYXRoZXJpbmUgQnVyZWF1IDEwMC0yMDAsIFNhaW50LUNvbnN0YW50LCBRQyBKNUEgMVI1LCBDYW5hZGEiKhooChYKFAoSCQWw8w0TEslMEa57uavjfN68Eg5CdXJlYXUgMTAwLTIwMA,subpremise,J5A 1R5,"223, rue Sainte-Catherine Bureau 100-200 Saint-Constant (Quebec) J5A 2H3",1,OK,586.025
Sherbrooke,MNA,Christine Labrie,Christine,Labrie,,Québec solidaire,Christine.Labrie.SHER@assnat.qc.ca,legislature,1 581 628-1833,,constituency,"230, rue King Ouest Bureau 301 Sherbrooke (Quebec) J1H 1P9",1 819 569-5646,109,"230 Rue King Ouest Bureau 301, Sherbrooke, QC J1H 1P9, Canada",,45.3998932,-71.8925176,"45.3998932,-71.89251759999999",Ej0yMzAgUnVlIEtpbmcgT3Vlc3QgQnVyZWF1IDMwMSwgU2hlcmJyb29rZSwgUUMgSjFIIDFQOSwgQ2FuYWRhIiYaJAoWChQKEgmRwxwwELO3TBFqAuMAh936VxIKQnVyZWF1IDMwMQ,subpremise,J1H 1P9,"230, rue King Ouest Bureau 301 Sherbrooke (Quebec) J1H 1P9",1,OK,502.996
Soulanges,MNA,Marilyne Picard,Marilyne,Picard,,Coalition avenir Québec,Marilyne.Picard.SOUL@assnat.qc.ca,legislature,1 581 628-1859,,constituency,"607, route 201 Saint-Clet (Quebec) J0P 1S0",1 450 456-3816,110,"607 QC-201, Saint-Clet, QC J0P 1S0, Canada",,45.3530751,-74.2244453,"45.3530751,-74.2244453",ChIJfTDKObO0zkwRsq5Z52-w8Rk,street_address,J0P 1S0,"607, route 201 Saint-Clet (Quebec) J0P 1S0",1,OK,646.313
Taillon,MNA,Lionel Carmant,Lionel,Carmant,,Coalition avenir Québec,Lionel.Carmant.TAIL@assnat.qc.ca,legislature,1 418 266-7181,,constituency,"498, boulevard Roland-Therrien Longueuil (Quebec) J4H 3V9",1 450 463-3772,111,"498 Boulevard Roland-Therrien, Longueuil, QC J4H 3V9, Canada",,45.545751,-73.493366,"45.545751,-73.493366",ChIJi_D5KqEcyUwRf-1hDZ4udmY,street_address,J4H 3V9,"498, boulevard Roland-Therrien Longueuil (Quebec) J4H 3V9",1,OK,589.304
Taschereau,MNA,Catherine Dorion,Catherine,Dorion,,Québec solidaire,Catherine.Dorion.TASC@assnat.qc.ca,legislature,1 581 628-1858,,constituency,"275, rue du Parvis Bureau 300 Québec (Quebec) G1K 6G7",1 418 646-6090,112,"275 Rue du Parvis Bureau 300, Québec, QC G1K 6G7, Canada",,46.8164648,-71.224575,"46.8164648,-71.224575",EjkyNzUgUnVlIGR1IFBhcnZpcyBCdXJlYXUgMzAwLCBRdcOpYmVjLCBRQyBHMUsgNkc3LCBDYW5hZGEiJhokChYKFAoSCa9sdFhylrhMEQCF0OqKIJEaEgpCdXJlYXUgMzAw,subpremise,G1K 6G7,"275, rue du Parvis Bureau 300 Québec (Quebec) G1K 6G7",1,OK,734.352
Terrebonne,MNA,Pierre Fitzgibbon,Pierre,Fitzgibbon,,Coalition avenir Québec,Pierre.Fitzgibbon.TERR@assnat.qc.ca,legislature,1 418 691-5650,,constituency,"3455, boulevard de la Pinière local 101 Terrebonne (Quebec) J6X 0A1",1 450 964-3553,113,"3455 Boulevard de la Pinière local 101, Terrebonne, QC J6X 3M8, Canada",,45.7241074,-73.6784918,"45.7241074,-73.6784918",EkczNDU1IEJvdWxldmFyZCBkZSBsYSBQaW5pw6hyZSBsb2NhbCAxMDEsIFRlcnJlYm9ubmUsIFFDIEo2WCAzTTgsIENhbmFkYSIlGiMKFgoUChIJLaIQaajeyEwRuiQ0VqOKFBsSCWxvY2FsIDEwMQ,subpremise,J6X 3M8,"3455, boulevard de la Pinière local 101 Terrebonne (Quebec) J6X 0A1",1,OK,619.308
Trois-Rivières,MNA,Jean Boulet,Jean,Boulet,,Coalition avenir Québec,Jean.Boulet.TRRI@assnat.qc.ca,legislature,1 418 643-4810,,constituency,"1500, rue Royale Bureau 180 Trois-Rivières (Quebec) G9A 6E6",1 819 371-6901,114,"1500 Rue Royale Bureau 180, Trois-Rivières, QC G9A 2H6, Canada",,46.3422014,-72.5446102,"46.34220140000001,-72.5446102",EjcxNTAwIFJ1ZSBSb3lhbGUgQnVyZWF1IDE4MCwgVHJvaXMtUml2acOocmVzLCBRQywgQ2FuYWRhIiYaJAoWChQKEgkRPa2DAcbHTBHWWXD8kYwWyRIKQnVyZWF1IDE4MA,subpremise,G9A 2H6,"1500, rue Royale Bureau 180 Trois-Rivières (Quebec) G9A 6E6",1,OK,644.343
Ungava,MNA,Denis Lamothe,Denis,Lamothe,,Coalition avenir Québec,Denis.Lamothe.UNGA@assnat.qc.ca,legislature,1 418 644-1363,,constituency,"462, 3e Rue Bureau 12 Chibougamau (Quebec) G8P 1N7",1 418 748-6046,115,"462 3e Rue Bureau 12, Chibougamau, QC G8P 1N7, Canada",,49.9135003,-74.3617801,"49.9135003,-74.36178009999999",EjU0NjIgM2UgUnVlIEJ1cmVhdSAxMiwgQ2hpYm91Z2FtYXUsIFFDIEc4UCAxTjcsIENhbmFkYSIlGiMKFgoUChIJd0IrynT15kwRkRR25VZK0RASCUJ1cmVhdSAxMg,subpremise,G8P 1N7,"462, 3e Rue Bureau 12 Chibougamau (Quebec) G8P 1N7",1,OK,1206.656
